index	video_path	video	question_id	question	answer	options	correct_answer_index	category
0001	boss-employee/video_141.mp4	boss-employee/video_141	0001-1	Why is the woman hesitant to reveal what she knows?	Because the information is supposed to be confidential	A. Because she fears the consequences of sharing it, B. Because the information is supposed to be confidential, C. Because she isn't sure if it's accurate information, D. Because she wants to protect someone involved, E. Because she believes it could cause misunderstandings	B	Environment Perception
0001	boss-employee/video_141.mp4	boss-employee/video_141	0001-2	Which kind of relationship plays a dominant role in this video?	boss-employee	A. service, B. grandparent-child, C. friends, D. transactional, E. colleagues, F. parent-child, G. couple, H. caregiver-recipient, I. coach-player, J. teacher-student, K. sibling, L. boss-employee, M. classmates, N. teammates	L	Relation Inference
0002	boss-employee/video_108.mp4	boss-employee/video_108	0002-1	Why does the woman opening the door smile when she sees the group?	She feels satisfied with their teamwork.	A. She feels satisfied with their teamwork., B. She is surprised by their unexpected visit., C. She is curious about their intentions., D. She dislikes having people at her door., E. She is anxious about their arrival.	A	Counterfactual Prediction
0002	boss-employee/video_108.mp4	boss-employee/video_108	0002-2	How would the team's reaction differ if they disliked the woman opening the door?	They would not wave at her.	A. They would not wave at her., B. They would greet her enthusiastically., C. They would applaud her arrival., D. They would invite her inside for a discussion., E. They would offer her a gift.	A	Counterfactual Prediction
0002	boss-employee/video_108.mp4	boss-employee/video_108	0002-3	Would you join them if you were their colleague?	No, I prefer peace and quiet.	A. Yes, I enjoy being part of a team., B. It depends on the project they're working on., C. No, I prefer peace and quiet., D. Sure, I like a lively work environment., E. I would rather work independently.	C	Counterfactual Prediction
0002	boss-employee/video_108.mp4	boss-employee/video_108	0002-4	What emotion would the woman feel if she saw the content on the computer screen?	She would feel angry.	A. She would feel happy., B. She would feel angry., C. She would feel confused., D. She would feel indifferent., E. She would feel surprised.	B	Emotion Inference
0002	boss-employee/video_108.mp4	boss-employee/video_108	0002-5	What are the people at the table doing as the woman opens the door?	Waving.	A. Eating quietly., B. Reading a book., C. Waving., D. Listening to music., E. Talking amongst themselves.	C	Action Recognition
0002	boss-employee/video_108.mp4	boss-employee/video_108	0002-6	Why might the team of women be gathered around the laptops?	They are choosing what to order for lunch.	A. They are choosing what to order for lunch., B. They are reviewing a project presentation., C. They are playing an online video game together., D. They are participating in a virtual meeting with clients., E. They are researching a new software application.	A	Intent Inference
0002	boss-employee/video_108.mp4	boss-employee/video_108	0002-7	Which kind of relationship plays a dominant role in this video?	boss-employee	A. colleagues, B. friends, C. coach-player, D. teacher-student, E. service, F. classmates, G. parent-child, H. transactional, I. sports teammates, J. boss-employee, K. sibling, L. couple, M. caregiver-recipient, N. grandparent-child	J	Relation Inference
0003	boss-employee/video_73.mp4	boss-employee/video_73	0003-1	Is the behavior of a person sitting in front of a computer good?	Yes	A. No, B. It depends, C. Sometimes, D. Not really, E. Yes	E	Human Attribute Identification
0003	boss-employee/video_73.mp4	boss-employee/video_73	0003-2	What would a person feel if their imagination became the reality of the Canadian flag?	Anxiety and unease	A. Joy and excitement, B. Indifference and apathy, C. Pride and satisfaction, D. Anxiety and unease, E. Confusion and doubt	D	Emotion Inference
0003	boss-employee/video_73.mp4	boss-employee/video_73	0003-3	What action will the person sitting at the computer likely take next?	Compose an email to the client.	A. Print a document for a meeting., B. Update the software on the computer., C. Take a break and grab a snack., D. Compose an email to the client., E. Browse social media for updates.	D	Action Recognition
0003	boss-employee/video_73.mp4	boss-employee/video_73	0003-4	Why is the person sitting at the laptop so quick to dismiss the mistake?	She wants to reassure her peer and show support.	A. She is preoccupied with her own tasks and doesn't have the time., B. He believes that mistakes are a natural part of learning., C. She is frustrated with the project and doesn't want to engage., D. He thinks it's more important to finish the work on time., E. She wants to reassure her peer and show support.	E	Intent Inference
0003	boss-employee/video_73.mp4	boss-employee/video_73	0003-5	What is the emotional tone of the person in the Canadian flag shirt when talking about the mistake?	Anxious and apologetic.	A. Confident and dismissive., B. Joyful and carefree., C. Angry and confrontational., D. Indifferent and detached., E. Anxious and apologetic.	E	Emotion Inference
0003	boss-employee/video_73.mp4	boss-employee/video_73	0003-6	How does the speaker's tone change between the 'Expectation' and 'Reality' segments?	From distressed to relieved.	A. From enthusiastic to indifferent., B. From confused to assertive., C. From hopeful to pessimistic., D. From distressed to relieved., E. From angry to anxious.	D	Environment Perception
0004	boss-employee/video_132.mp4	boss-employee/video_132	0004-1	What was the woman's reaction when the man in a gray suit said, 'It's a pity you didn't take over here'?	She said she indeed wished she had, and smiled, showing her delight at the man's acknowledgment.	A. She frowned and walked away without responding., B. She said she indeed wished she had, and smiled, showing her delight at the man's acknowledgment., C. She laughed and said it was not her style., D. She expressed relief and thanked him for his concern., E. She looked surprised and asked for clarification.	B	Action Recognition
0004	boss-employee/video_132.mp4	boss-employee/video_132	0004-2	How would the interaction between the woman and Mr. Josh change if they were close friends?	The woman would most likely accept the job opportunity.	A. The woman would probably decline the offer altogether., B. The woman would likely argue about the terms of employment., C. The woman would most likely accept the job opportunity., D. The woman might suggest working on a project together instead., E. The woman could feel uncomfortable discussing the job opportunity.	C	Counterfactual Prediction
